'NDEAEvolve.Exp009.cutoff_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_real_ge_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.gridPoints_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.gridPoints_eq_gridIndex_succ' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_unaliased' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.mesh_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.mesh_period' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_mesh_le_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.timeStep_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.timeStep_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.timeStep_restriction' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.stepCount_timeStep' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_inverse_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.mesh_eq_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.timeStep_eq_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.mesh_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.timeStep_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_error_eq_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.cutoff_error_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.control_cutoff_strict' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp009.control_first_schedule' depends on axioms: [propext, Classical.choice, Quot.sound]
