'NDEAEvolve.Exp016.temporalGridSize_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalStepCount_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalStepSize_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalSchedule_mesh' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalSchedule_mesh_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalSchedule_time_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalSchedule_sum_cube' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.physicalTemporalCoefficient_rescaled' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.temporalGridSize_tendsto_atTop' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledTemporalCoefficient_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledTemporalBound_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledSampledTemporalSum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledSampledTemporalSum_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledCayley_error_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.scheduledNonspatialBudget_tendsto_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
