'NDEAEvolve.Exp016.oddFrequency_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.gridAlias_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.frequencyWeight_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.frequencyWeight_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.frequencyWeight_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.gridAlias_frequencyWeight_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.gridAlias_frequencyWeight_add_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.fourierWeightedNorm_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.fourierWeightedNorm_sum_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.fourierWeightedNorm_modeLift_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'NDEAEvolve.Exp016.fourierWeightedNorm_modeLift_le' depends on axioms: [propext, Classical.choice, Quot.sound]
